#Age (Myr)	d18O(‰)
1.077	3.73
1.08	3.92
1.083	4.05
1.086	4.11
1.089	4.19
1.092	4.17
1.095	4.24
1.098	4.37
1.101	4.24
1.104	4.05
1.107	3.88
1.11	3.8
1.113	3.85
1.116	4.22
1.119	4.41
1.122	4.4
1.125	4.51
1.128	4.63
1.131	4.63
1.134	4.61
1.137	4.39
1.14	4.27
1.143	4.12
1.146	4.09
1.149	3.99
1.152	3.96
1.155	3.94
1.158	3.79
1.161	3.77
1.164	3.73
1.167	3.81
1.17	3.86
1.173	3.87
1.176	3.75
1.179	3.6
1.182	3.74
1.185	3.99
1.188	4
1.191	4.26
1.194	4.4
1.197	4.5
1.2	4.42
1.203	4.45
1.206	4.46
1.209	4.35
1.212	4.27
1.215	4.23
1.218	4.16
1.221	3.97
1.224	3.74
1.227	3.57
1.23	3.57
1.233	3.51
1.236	3.44
1.239	3.38
1.242	3.3
1.245	3.86
1.248	4.22
1.251	4.33
1.254	4
1.257	4.23
1.26	4.25
1.263	4.07
1.266	3.96
1.269	3.94
1.272	3.83
1.275	3.71
1.278	3.62
1.281	3.87
1.284	4
1.287	4.35
1.29	4.33
1.293	4.28
1.296	4.34
1.299	4.27
1.302	4.27
1.305	4.25
1.308	4.04
1.311	3.9
1.314	3.78
1.317	3.97
1.32	4.1
1.323	4.21
1.326	4.26
1.329	4.3
1.332	4.34
1.335	4.28
1.338	4.16
1.341	3.84
1.344	3.56
1.347	3.57
1.35	3.6
1.353	3.59
1.356	4.03
1.359	4.12
1.362	4.29
1.365	4.36
1.368	4.34
1.371	4.28
1.377	4.11
1.38	4.12
1.383	3.86
1.386	3.79
1.389	3.77
1.392	3.72
1.395	3.56
1.398	3.53
1.401	3.66
1.404	3.79
1.407	3.78
1.41	3.78
1.413	4.15
1.416	4.33
1.419	4.17
1.422	4.2
1.425	4.1
1.428	4
1.431	3.9
1.434	3.65
1.437	3.43
1.44	3.31
1.443	3.38
1.446	3.41
1.449	3.46
1.452	3.47
1.455	3.81
1.458	4.26
1.461	4.18
1.464	4.27
1.467	4.06
1.47	3.6
1.473	3.47
1.476	3.52
1.479	3.52
1.482	3.54
1.485	3.54
1.488	3.39
1.491	3.47
1.494	3.67
1.497	3.96
1.5	4.21
1.503	4.21
1.506	4.2
1.509	4.32
1.512	4.22
1.515	3.95
1.518	3.73
1.521	3.83
1.524	3.74
1.527	3.77
1.53	3.85
1.533	4
1.536	4.25
1.539	4.41
1.542	4.53
1.545	4.27
1.548	4
1.551	3.83
1.554	3.8
1.557	3.9
1.56	3.9
1.563	3.61
1.566	3.51
1.569	3.98
1.572	4.34
1.575	4.4
1.578	4.17
1.581	4.23
1.584	4.03
1.587	3.93
1.59	3.79
1.593	3.79
1.596	3.84
1.599	3.83
